0.0428152	0.0862181	-0.0270796	8.36231e-08	5.47781e-08	-2.55656e-09	0.0109648
0.0986328	-0.176013	0.345385	-2.3089e-07	-8.49235e-08	-5.03068e-07	0.363078
-0.0884662	0.283145	0.338383	4.55872e-07	-2.49645e-07	1.60484e-08	0.758578
-1.27442	-0.605712	-2.24309	6.04551e-07	-5.75646e-08	-7.17499e-07	0.912011
-0.00116026	0.0557703	-0.192063	-1.45032e-07	-3.0265e-07	1.30265e-07	1.31826
0.919273	0.936324	0.317384	3.33908e-07	7.92511e-07	-5.63868e-09	0.691831
-0.70779	0.780344	1.2042	-3.32214e-07	-5.31577e-08	-4.90725e-08	0.331131
0.10061	-0.180905	0.217143	2.91787e-07	1.00064e-07	8.02775e-07	0.363078
0.417895	0.210494	0.176226	-8.88211e-07	2.03166e-07	1.273e-07	0.190546
1.2308	-1.2831	0.280682	-7.14554e-07	1.23413e-06	-3.12942e-07	0.331131
